Course,ID,Department
Topics in Emerging and Breakthrough Technologies,ENGN,Engineering
Physical Design of Digital Integrated Circuits,ENGN,Engineering
Computer Architecture,ENGN,Engineering
Computational Electromagnetics,ENGN,Engineering
Biological Impacts of Nanomaterials,ENGN,Engineering
Environmental Technologies and Human Health,ENGN,Engineering
Instabilities and Turbulent Flows,ENGN,Engineering
Fate and Transport of Environmental Contaminants,ENGN,Engineering
Ultrafast Optical Phenomena,ENGN,Engineering
Reconfigurable Computing,ENGN,Engineering
"Verification, Test, Synthesis",ENGN,Engineering
Principles of Nano-Optics,ENGN,Engineering
Toxicity of Nanoparticles,ENGN,Engineering
Scientific Programming in C++,ENGN,Engineering
Networks and Network-on-Chip Design,ENGN,Engineering
Low Power VLSI System Design,ENGN,Engineering
Interfacial Phenomena,ENGN,Engineering
Asymptotic and Perturbation Methods,ENGN,Engineering
Mixed-Signal Electronic Design,ENGN,Engineering
Topics in Bioelectronics,ENGN,Engineering
Topics in Optimization,ENGN,Engineering
Coherence of Light in Nanooptics and Plasmonics,ENGN,Engineering
Implantable Devices,ENGN,Engineering
Experimental Fluid Mechanics,ENGN,Engineering
Coordinated Mobile Robotics,ENGN,Engineering
Deep Learning for Scientists and Engineers,ENGN,Engineering
Two Phase Flows,ENGN,Engineering
Complex Fluids: Non Newtonian Fluid Mechanics,ENGN,Engineering
Mechanics of Energy Storage Materials,ENGN,Engineering
Environmental Technologies and Human Health,ENGN,Engineering
Theory of Heterogeneous Materials,ENGN,Engineering
Sensors and Actuators for Real Systems,ENGN,Engineering
Materials and Interfaces for Energy Storage Devices,ENGN,Engineering
Atomistic Modeling of Materials,ENGN,Engineering
Experiential Learning in Industry (ELI),ENGN,Engineering
"Special Projects, Reading, Research and Design",ENGN,Engineering
Characterizing Nanomaterial Structure,ENGN,Engineering
Complexities and Challenges of Global Health,PHP,Public Health
Pandemics and Global Epidemics,PHP,Public Health
Health Care in the United States,PHP,Public Health
Introduction to Public Health,PHP,Public Health
Public Health Policy,PHP,Public Health
"Intro to Health Disparities & Making Connection between Structure, Social Determinants & Health Equity",PHP,Public Health
Global Public Health Interventions,PHP,Public Health
Public Health and the Environment,PHP,Public Health
Fundamentals of Epidemiology,PHP,Public Health
Global Burden of Disease,PHP,Public Health
Comparative Health Care Systems,PHP,Public Health
Parenting Behaviors and Child Health,PHP,Public Health
"COVID-19, Public Health, and Health Policy",PHP,Public Health
"Public Health in a Changing World: Law, Policy & Justice",PHP,Public Health
Introduction To Public Health Economics,PHP,Public Health
Essentials of Data Analysis,PHP,Public Health
Principles of Biostatistics and Data Analysis,PHP,Public Health
Applied Regression Analysis,PHP,Public Health
Alcohol Use and Misuse,PHP,Public Health
Substance Use and Vulnerability to Addiction,PHP,Public Health
"Substance Use Prevention, Treatment, & Policy",PHP,Public Health
Statistical Programming in R,PHP,Public Health
"Tobacco, Disease and the Industry: cigs, e-cigs and more",PHP,Public Health
"Race, Racism and Health",PHP,Public Health
"Pathology to Power: Disability, Health and Community",PHP,Public Health
Intersectionality and Health Inequities,PHP,Public Health
"Reproductive Health, Rights and Justice",PHP,Public Health
Technology and Health Behavior Change,PHP,Public Health
Current Topics in Environmental Health,PHP,Public Health
Climate Change and Human Health,PHP,Public Health
Environmental Exposure Assessments in Practice,PHP,Public Health
Rural Public Health,PHP,Public Health
Climate Risks and Health Solutions,PHP,Public Health
Community-Engaged Research in Public Health,PHP,Public Health
"Incarceration, Disparities, and Health",PHP,Public Health
The Epidemiology and Control of Infectious Diseases,PHP,Public Health
Infectious Disease Modeling,PHP,Public Health
"Meditation, Mindfulness and Health",PHP,Public Health
Measuring Mindfulness,PHP,Public Health
The Craving Mind,PHP,Public Health
Mindfulness Epidemiology,PHP,Public Health
Public Health Senior Seminar,PHP,Public Health
Public Health Honors Senior Seminar,PHP,Public Health
Social Determinants of Health,PHP,Public Health
Adolescent and Young Adult Health,PHP,Public Health
Cancer Epidemiology and Prevention,PHP,Public Health
Public Health Nutrition,PHP,Public Health
Foundations of Spatial Analysis in Public Health,PHP,Public Health
Epidemiology of Cardio-Metabolic Health,PHP,Public Health
Measurement Issues in Health Care,PHP,Public Health
Maternal and Child Health in the United States,PHP,Public Health
Engaged Scholarship in Maternal and Child Health,PHP,Public Health
Clinical Trials Methodology,PHP,Public Health
Survey Research Methods,PHP,Public Health
Qualitative Methods in Health Research,PHP,Public Health
Qualitative Data Analysis in Public Health Research,PHP,Public Health
Applied Public Health: Systems and Practice,PHP,Public Health
Leadership and Communication,PHP,Public Health
Needs Analysis and Program Planning,PHP,Public Health
Capstone: Policy Report,PHP,Public Health
Capstone: Program Proposal,PHP,Public Health
Public Health Law and Policy,PHP,Public Health
Health Policy and Equity,PHP,Public Health
Research Grant Writing for Public Health,PHP,Public Health
Research Grant Writing for Public Health-Part A,PHP,Public Health
Research Grant Writing for Public Health-Part B,PHP,Public Health
Introduction to Methods in Epidemiologic Research,PHP,Public Health
Human Biology for Public Health,PHP,Public Health
Principles of Applied Epidemiology,PHP,Public Health
Foundations in Modern Epidemiologic Methods,PHP,Public Health
Interpretation and Application of Epidemiology,PHP,Public Health
Intermediate Methods in Epidemiologic Research,PHP,Public Health
Surveillance Methods for Applied Epidemiology,PHP,Public Health
Nutritional Epidemiology,PHP,Public Health
Topics in Environmental and Occupational Epidemiology,PHP,Public Health
"The Epidemiology, Treatment and Prevention of HIV",PHP,Public Health
Contemporary History of Epidemiologic Methods,PHP,Public Health
Applied Epidemiologic Data Analysis,PHP,Public Health
Research Methods in Behavioral Science,PHP,Public Health
Physical Activity and Public Health,PHP,Public Health
Behavioral and Social Approaches to HIV Prevention,PHP,Public Health
"Affect, Emotion, and Health Behavior",PHP,Public Health
Designing and Evaluating Public Health Interventions,PHP,Public Health
Proseminar in Health Behavior Intervention Research,PHP,Public Health
Public Health Topics in LGBTQ+ Communities,PHP,Public Health
Etiology of Substance Use Disorders,PHP,Public Health
Communicating Science to Lay Audiences,PHP,Public Health
Health Communication,PHP,Public Health
"The U.S. Health Care System: Case Studies in Financing, Delivery, Regulation and Public Health",PHP,Public Health
Interpreting Population Data for Health Services Policy,PHP,Public Health
Medicare: A Data Based Policy Examination,PHP,Public Health
Introduction to Health Policy Analysis,PHP,Public Health
Introduction to Evidence-based Medicine,PHP,Public Health
Health Justice,PHP,Public Health
Introduction to Pharmacoepidemiology,PHP,Public Health
Minding the Gap: The U.S. Healthcare Safety Net,PHP,Public Health
Health Care Financing and Delivery,PHP,Public Health
Measuring and Improving the Quality of Health Care,PHP,Public Health
Health Services Research Methods I,PHP,Public Health
Health Services Research Methods II,PHP,Public Health
Introduction to Health Decision Analysis,PHP,Public Health
Selected Topics in Health Economics,PHP,Public Health
Methods in Pharmacoepidemiology,PHP,Public Health
Biostatistics for Public Health Research,PHP,Public Health
Biostatistics and Applied Data Analysis I,PHP,Public Health
BioStatistics and Data Analysis II,PHP,Public Health
Principles of Biostatistics and Data Analysis,PHP,Public Health
Applied Regression Analysis,PHP,Public Health
Applied Generalized Linear Models,PHP,Public Health
Fundamentals of Probability and Statistical Inference,PHP,Public Health
Applied Longitudinal Data Analysis,PHP,Public Health
Applied Multilevel Data Analysis,PHP,Public Health
Statistical Inference I,PHP,Public Health
Bayesian Statistical Methods,PHP,Public Health
Practical Data Analysis,PHP,Public Health
Statistical Programming with R,PHP,Public Health
